guest_satisfication,host_reviews,monthly_price_factor,picture_count,price,response_rate,reviews_count,weekly_price_factor,listing_key
100,397,1.0,36,37,100,27,1.0,28489459
100,10,1.0,11,34,70,7,1.0,31693203
79,26,1.0,11,34,90,18,1.0,22848520
100,31,1.0,21,34,90,11,1.0,30070155
97,106,1.0,16,38,100,106,0.9,19505724
97,71,1.0,9,33,100,48,1.0,18422503
95,21,0.75,38,38,100,21,1.0,11184446
98,45,0.85,24,41,100,41,0.97,19766895
100,1,0.85,27,38,0,1,0.9,27467275
92,49,0.92,13,34,100,26,0.95,24730699
87,15,1.0,10,41,100,11,1.0,23913909
96,100,1.0,11,34,0,97,0.95,7384192
96,70,0.9,24,33,100,5,0.95,22020137
97,29,1.0,20,32,100,27,1.0,20216084
91,377,0.85,62,34,100,7,0.95,24555897
92,95,1.0,17,34,100,47,0.89,22684527
98,31,0.85,45,38,100,30,0.89,24718337
96,26,1.0,29,38,0,11,1.0,24379110
0,1,0.6000000000000001,15,36,100,0,0.9,35877101
94,52,0.85,12,41,100,52,0.9,20190358
89,68,1.0,11,38,100,15,0.89,23590828
97,95,0.8,28,38,93,18,0.92,19784266
80,4,0.8,13,33,100,4,0.9,31361607
97,128,0.85,35,33,100,43,0.9,21643861
95,201,0.9,61,40,98,11,1.0,29822339
97,63,0.93,29,37,100,29,0.95,18685140
94,173,1.0,25,34,100,105,1.0,24964380
95,82,0.85,11,34,100,4,0.9,32157396
93,9,1.0,14,33,100,9,1.0,33344001
98,21,1.0,12,41,100,21,1.0,29759040
89,86,0.75,31,34,100,21,0.79,24428330
96,407,1.0,36,37,100,11,1.0,33096988
100,2,0.75,23,33,0,2,0.89,11316905
93,302,1.0,35,34,100,6,1.0,21244350
100,15,1.0,12,36,100,13,1.0,34144824
100,12,1.0,30,33,100,12,1.0,23644828
83,86,1.0,37,34,100,24,1.0,25785261
96,397,0.85,10,32,100,16,0.9,31046023
93,258,1.0,14,36,100,16,1.0,29685108
100,201,0.9,29,33,98,12,1.0,26534948
91,87,0.8,27,32,100,15,0.95,25846890
100,3,0.8,4,34,80,3,0.9,34146645
96,37,1.0,17,36,100,9,1.0,32791437
100,11,0.85,25,33,100,11,0.91,21893383
94,16,0.8,26,34,100,16,1.0,24696528
99,124,1.0,8,34,94,28,1.0,25842022
96,44,0.7000000000000001,11,38,100,26,0.9,19152891
67,70,1.0,16,34,100,3,1.0,25165099
100,37,1.0,13,34,100,9,1.0,32790555
98,28,0.75,19,41,100,17,1.0,18316814
90,207,1.0,30,40,80,21,1.0,141313
87,58,0.8,16,34,100,15,0.9,22041978
75,4,0.85,10,40,80,4,0.95,32548993
91,356,0.77,11,36,94,36,0.85,27875459
98,12,1.0,23,36,100,11,1.0,28056389
99,397,0.85,10,32,100,15,0.9,31045928
93,6,0.75,18,34,100,3,0.79,34507415
98,27,1.0,11,38,100,9,1.0,22165798
93,338,1.0,14,40,93,35,0.94,10526787
100,14,0.8,8,40,80,2,0.9,18689340
95,89,1.0,19,40,100,80,0.9,4842750
98,19,1.0,19,34,100,17,0.9,25191780
100,2,0.8,19,41,100,2,0.85,35041237
96,37,1.0,17,36,100,5,1.0,32791682
94,36,0.66,5,40,0,31,0.8,13958517
98,64,1.0,46,36,100,55,0.9,18142837
96,24,0.86,11,33,100,10,0.9,16145564
100,2,1.0,17,34,100,2,1.0,21647041
99,143,0.65,18,40,100,40,0.85,18159151
89,70,0.75,25,41,100,24,0.9,21848603
96,5,0.8,11,36,100,5,1.0,31075073
95,39,0.9,34,40,100,21,0.95,2676130
90,115,0.92,12,33,93,10,0.95,29212734
90,3,1.0,12,34,100,2,1.0,23870572
0,233,1.0,20,40,95,0,1.0,23898799
70,67,0.7000000000000001,5,34,100,6,0.9,32072375
73,66,0.75,13,40,94,3,0.85,34290125
98,44,0.85,12,40,90,13,0.9,26814452
91,379,0.7000000000000001,22,32,100,7,0.9,24761400
86,11,1.0,11,34,100,11,1.0,18091822
0,9,1.0,19,38,0,0,1.0,30233467
99,44,0.6900000000000001,14,32,100,14,0.89,20475929
98,148,0.75,17,33,100,42,0.9,12514901
0,1,1.0,6,34,100,0,1.0,34370547
94,39,0.8,20,33,100,39,0.9,18138258
80,3,0.9,13,41,100,1,1.0,23744380
95,11,1.0,27,41,100,11,1.0,32903385
98,25,0.85,25,33,100,11,0.9,30710102
98,13,1.0,8,38,100,13,1.0,24305689
91,63,0.9,30,40,100,52,0.95,14587936
95,24,0.85,28,38,100,21,0.95,20149890
0,1,0.6000000000000001,11,34,100,0,0.85,19640983
97,26,0.8200000000000001,23,40,100,15,0.92,8866258
96,33,1.0,23,41,100,33,1.0,22771238
100,9,0.75,9,34,100,9,0.85,32112406
97,32,0.75,50,33,100,31,0.79,21824118
96,2203,1.0,14,34,100,5,1.0,33655772
96,201,0.9,29,33,98,10,1.0,29733385
97,161,1.0,68,34,100,50,1.0,29854129
98,25,0.9,17,33,100,13,0.95,30580727
96,5,0.7000000000000001,24,36,100,5,1.0,25739907
87,108,1.0,27,40,100,3,1.0,19592231
100,39,1.0,13,34,100,6,1.0,29903798
93,28,0.9,19,34,100,28,0.95,20172756
100,37,1.0,15,40,100,7,1.0,26900022
100,6,0.75,20,34,100,3,0.79,34509439
97,37,1.0,17,37,100,7,1.0,32791605
0,5,0.6000000000000001,5,34,0,0,0.79,22730300
94,103,1.0,33,41,100,30,1.0,764042
83,70,1.0,12,41,100,6,1.0,27466201
93,100,0.8,85,33,57,62,0.9,84781
95,132,0.9,19,33,100,19,1.0,30766958
96,24,1.0,16,38,100,24,1.0,25675568
96,46,0.9,19,34,100,46,1.0,23979020
99,407,1.0,36,37,100,14,1.0,33048329
98,201,0.9,29,33,98,12,1.0,29851274
99,407,1.0,35,37,100,14,1.0,32991496
89,311,1.0,20,37,100,19,1.0,31857071
96,18,1.0,15,40,92,10,1.0,28610986
96,407,1.0,37,40,100,17,1.0,32899363
100,15,1.0,34,40,100,15,1.0,28162174
93,33,0.89,30,41,100,30,0.98,19526863
97,72,0.85,52,40,100,72,0.93,16131060
97,33,1.0,20,34,100,6,1.0,23147475
93,220,1.0,23,40,100,39,1.0,25490698
96,201,0.9,29,33,98,16,1.0,29705378
98,11,1.0,9,33,100,11,1.0,19720942
97,69,0.8,20,38,100,35,0.93,18348862
97,201,0.9,61,40,98,22,1.0,29819494
91,252,0.8,16,41,94,93,0.89,19673885
89,35,0.8,17,41,100,35,0.9,27544914
89,52,0.85,12,38,100,49,0.95,8797491
100,853,1.0,33,34,100,11,1.0,33074866
